MLS Number,Street Number,Street Name,Street Suffix,City/Location,Zip Code,County,List Price,Subdivision,Market Area,School District,School Elementary,School Middle,School High,Building SqFt,Price Sq Ft List,Year Built,Bedrooms,Baths Full,Baths Half,Baths Total,Stories,DOM,CDOM
27402628,1415,Bringhurst,Street,Houston,77020,Harris,"$369,000 ",Farmer Teal Add,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1800,$205.00 ,2023,3,2,1,2.1,2,147,147
27042102,1413,Bringhurst,Street,Houston,77020,Harris,"$369,000 ",Farmer Teal Add,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1800,$205.00 ,2023,3,2,1,2.1,2,147,147
32979122,1919,Capron,Street,Houston,77020,Harris,"$369,000 ",Chapmans,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1942,$190.01 ,2023,3,2,1,2.1,2,120,239
94560409,4311,Oats,Street,Houston,77020,Harris,"$369,900 ",Oats Street Place,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1970,$187.77 ,2023,3,3,1,3.1,3,59,158
81336874,2305,Wipprecht,Street,Houston,77020,Harris,"$378,000 ",Augusta,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),MCREYNOLDS MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1689,$223.80 ,2023,3,2,1,2.1,2,60,60
32561590,2303,Wipprecht,Street,Houston,77020,Harris,"$378,000 ",Augusta,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),MCREYNOLDS MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1689,$223.80 ,2023,3,2,1,2.1,2,60,60
87956856,4204,Hershe,Street,Houston,77020,Harris,"$384,900 ",Hershe Luxury Homes,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1893,$203.33 ,2023,3,2,1,2.1,2,71,71
84041894,2122,Erastus Street,,Houston,77020,Harris,"$399,000 ",Englewood,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),MCREYNOLDS MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,2122,$188.03 ,2023,3,2,1,2.1,2,22,22
96675635,3706,Market,Street,Houston,77020,Harris,"$399,000 ",Vecino Homes at Market Street,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,2021,$197.43 ,2023,3,2,1,2.1,2,25,25
5121444,4508,NOBLE,Street,Houston,77020,Harris,"$399,000 ",Noble Estates,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1610,$247.83 ,2023,3,2,1,2.1,2,174,174
63184993,1419,Bringhurst,Street,Houston,77020,Harris,"$399,944 ",Lynae Homes,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,2181,$183.38 ,2023,4,2,1,2.1,2,55,83
22797198,1417,Bringhurst,Street,Houston,77020,Harris,"$399,944 ",Lynae Homes,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,2181,$183.38 ,2023,4,2,1,2.1,2,55,85
46319280,4211,Nichols,Street,Houston,77020,Harris,"$399,999 ",LYONS REDEV,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1880,$212.77 ,2023,3,2,1,2.1,2,13,54
79090051,4222,Nichols,Street,Houston,77020,Harris,"$412,500 ",PLAZA ESTATES AT NICHOLS,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,2207,$186.91 ,2023,3,2,1,2.1,2,54,54
91805500,4220,Nichols,Street,Houston,77020,Harris,"$412,500 ",PLAZA ESTATES AT NICHOLS,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,2207,$186.91 ,2023,3,2,1,2.1,2,84,84
93329109,4909,Sunflower,Street,Houston,77033,Harris,"$370,000 ",Sunflower Xing,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,1889,$195.87 ,2021,3,2,1,2.1,2,26,445
94610642,4228,Knoxville,Street,Houston,77051,Harris,"$350,000 ",Sunnyside Courts,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,1842,$190.01 ,2022,3,2,1,2.1,2,117,117
87441049,4657,Mallow,Street,Houston,77051,Harris,"$355,000 ",Flower City,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,2506,$141.66 ,2021,4,2,1,2.1,2,137,137
95168792,4211,Larkspur,Street,Houston,77051,Harris,"$359,000 ",LARKSPUR ESTATES,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,2156,$166.51 ,2023,3,2,1,2.1,2,0,150
51960196,4509,Galesburg,Street,Houston,77051,Harris,"$365,000 ",Safeguard,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,1892,$192.92 ,2023,3,2,1,2.1,2,8,133
56569182,4511,Galesburg,Street,Houston,77051,Harris,"$365,000 ",Safeguard,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,1892,$192.92 ,2023,3,2,1,2.1,2,8,31
32159546,4208,Clover Street,,Houston,77051,Harris,"$375,000 ",maggie manors,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,2153,$174.18 ,2023,3,2,1,2.1,2,55,55
75232063,4409,Brinkley,,Houston,77051,Harris,"$379,000 ",Blue Bonnet Estates,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,2299,$164.85 ,2023,4,3,1,3.1,2,116,116
48447568,8910,Ferdinand,Street,Houston,77051,Harris,"$389,900 ",Alexandria Court,Medical Center South,27 - Houston,BASTIAN ELEMENTARY SCHOOL,ATTUCKS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,2400,$162.46 ,2023,3,2,1,2.1,2,88,88
10498016,3434,Bolin,Road,Houston,77092,Harris,"$359,990 ",Bolin Estates,Spring Branch,27 - Houston,BENBROOK ELEMENTARY SCHOOL (HOUSTON),CLIFTON MIDDLE SCHOOL (HOUSTON),SCARBOROUGH HIGH SCHOOL,1807,$199.22 ,2023,3,3,1,3.1,2,36,71
20913012,3426,Bolin,Road,Houston,77092,Harris,"$359,990 ",Bolin Estates,Spring Branch,27 - Houston,BENBROOK ELEMENTARY SCHOOL (HOUSTON),CLIFTON MIDDLE SCHOOL (HOUSTON),SCARBOROUGH HIGH SCHOOL,1807,$199.22 ,2023,3,3,1,3.1,2,47,47
33787813,3430,Bolin,Road,Houston,77092,Harris,"$359,990 ",Bolin Estates,Spring Branch,27 - Houston,BENBROOK ELEMENTARY SCHOOL (HOUSTON),CLIFTON MIDDLE SCHOOL (HOUSTON),SCARBOROUGH HIGH SCHOOL,1807,$199.22 ,2023,3,3,1,3.1,2,47,47
41493968,3442,Bolin,Road,Houston,77092,Harris,"$359,990 ",Bolin Estates,Spring Branch,27 - Houston,BENBROOK ELEMENTARY SCHOOL (HOUSTON),CLIFTON MIDDLE SCHOOL (HOUSTON),SCARBOROUGH HIGH SCHOOL,1807,$199.22 ,2023,3,3,1,3.1,2,47,47
10015405,3130,Trulley St,,Houston,77004,Harris,"$369,000 ",Trulley Park,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1507,$244.86 ,2023,3,2,1,2.1,2,79,79
19827068,3128,Trulley,Street,Houston,77004,Harris,"$374,900 ",Trulley Park,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1507,$248.77 ,2023,3,2,1,2.1,2,80,200
13739217,3719,Palmer,Street,Houston,77004,Harris,"$390,000 ",Levy Leon,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1935,$201.55 ,2023,3,2,1,2.1,2,6,142
32691828,2806,Tierwester,Street,Houston,77004,Harris,"$400,000 ",Drew Park,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2000,$200.00 ,2023,3,3,1,3.1,3,98,98
28403945,2804,Tierwester,Street,Houston,77004,Harris,"$400,000 ","Lot 2, Block 1",University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2000,$200.00 ,2023,3,3,1,3.1,3,97,97
65087534,2802,Tierwester,Street,Houston,77004,Houston,"$400,000 ",Drew Park,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2000,$200.00 ,2023,3,3,1,3.1,3,97,97
58077728,3217,Ennis,Street,Houston,77004,Harris,"$414,990 ",Ennis Grv,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1892,$219.34 ,2023,3,3,1,3.1,3,36,36
48750760,3044,Truxillo,Street,Houston,77004,Harris,"$419,900 ",Washington Terrace,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1868,$224.79 ,2021,3,2,1,2.1,2,11,84
69830732,3015,Sampson,Street,Houston,77004,Harris,"$425,000 ",SAMPSON SQUARE,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1843,$230.60 ,2023,3,3,1,3.1,3,20,87
96467313,2405,Bastrop,Street,Houston,77004,Harris,"$429,000 ",Bastrop Mcilhenny Villas,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2226,$192.72 ,2018,3,3,1,3.1,3,36,36
61874435,3215,Ennis,Street,Houston,77004,Harris,"$429,990 ",Ennis Grv,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2007,$214.25 ,2023,3,3,1,3.1,3,0,0
52978736,3215,Ennis,Street,Houston,77004,Harris,"$429,990 ",Ennis Grv,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2007,$214.25 ,2023,3,3,1,3.1,3,36,36
4794813,2714,Nagle,Street,Houston,77004,Harris,"$439,900 ",American Good Nagle Street Com,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1966,$223.75 ,2021,3,3,1,3.1,3,108,238
30466342,2110,Stuart,Street,Houston,77004,Harris,"$440,000 ",Chateaus/Hutchins Street,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2255,$195.12 ,2021,3,3,1,3.1,3,6,39
43490913,2405,Live Oak,Street,Houston,77004,Harris,"$444,444 ",Live Oak Green,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2020,$220.02 ,2023,3,3,1,3.1,2,18,85
35996293,3517,Mcilhenny,Street,Houston,77004,Harris,"$449,900 ",MCILHENNY LANDING,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1984,$226.76 ,2023,3,3,1,3.1,2,11,11
77106692,3519,Mcilhenny,Street,Houston,77004,Harris,"$449,900 ",MCILHENNY LANDING,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,1984,$226.76 ,2023,3,3,1,3.1,2,48,48
79157945,2219,Berry Street,,Houston,77004,Harris,"$449,990 ",SUNSHINE BASTROP,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2097,$214.59 ,2023,3,3,1,3.1,3,28,100
79422627,3107,Webster,Street,Houston,77004,Harris,"$450,000 ",Webster Estates,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2024,$222.33 ,2023,3,3,1,3.1,3,21,21
58615065,3105,Webster,Street,Houston,77004,Harris,"$450,000 ",Webster Estates,University Area,27 - Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,2024,$222.33 ,2023,3,3,1,3.1,3,6,6
95437690,15826,Keystone Ridge,Lane,Houston,77070,Harris,"$374,990 ",Vintage Royale,Champions Area,32 - Klein,BRILL ELEMENTARY SCHOOL,ULRICH INTERMEDIATE SCHOOL,KLEIN CAIN HIGH SCHOOL,2282,$164.33 ,2012,3,3,0,3,1,8,8
98259557,413,Gregg,Street,Houston,77020,Harris,"$425,000 ",Eado Riverside Townhouse Development,Denver Harbor,27 - Houston,BRUCE ELEMENTARY SCHOOL,MCREYNOLDS MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,2154,$197.31 ,2019,3,3,1,3.1,4,97,97
92805980,4122,Buck,Street,Houston,77020,Harris,"$429,000 ",Bucks Lndg,Denver Harbor,27 - Houston,BRUCE ELEMENTARY SCHOOL,MCREYNOLDS MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1843,$232.77 ,2023,3,3,1,3.1,3,204,204
60672304,2331,Hoskins,Drive,Houston,77080,Harris,"$369,990 ",Neuen Manor,Spring Branch,49 - Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,SPRING WOODS MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,1769,$209.15 ,2023,3,2,1,2.1,2,5,5
65819560,2151,Hoskins,Drive,Houston,77080,Harris,"$385,000 ",Hoskins Heights,Spring Branch,49 - Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,SPRING WOODS MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,1820,$211.54 ,2019,3,2,1,2.1,2,14,14
19335670,2205,Rain Melody,Lane,Houston,77080,Harris,"$425,000 ",Bauer Springs,Spring Branch,49 - Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,SPRING WOODS MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,2246,$189.23 ,2023,3,3,1,3.1,3,51,143
54660118,2312,Campbell,Road,Houston,77080,Harris,"$429,700 ",Cantera at Neuen Manor,Spring Branch,49 - Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,SPRING WOODS MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,2163,$198.66 ,2023,4,4,0,4,3,97,267
93605628,2203,Rain Melody,Lane,Houston,77080,Harris,"$435,000 ",Bauer Springs,Spring Branch,49 - Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,SPRING WOODS MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,2356,$184.63 ,2023,3,3,1,3.1,3,51,143
60012594,2202,Rain Melody,,Houston,77080,Harris,"$435,000 ",Bauer Springs,Spring Branch,49 - Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,SPRING WOODS MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,2361,$184.24 ,2023,3,3,1,3.1,3,195,195
56294374,9424,Campbell,Road,Houston,77080,Harris,"$449,900 ",Neuen Manor Partial Replat #20,Spring Branch,49 - Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,SPRING WOODS MIDDLE SCHOOL,SPRING WOODS HIGH SCHOOL,1971,$228.26 ,2023,3,3,1,3.1,3,83,83
45965121,3917,Rotman,,Houston,77003,Harris,"$379,900 ",Rotman Heights,East End Revitalized,27 - Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),1789,$212.35 ,2023,3,2,1,2.1,2,168,168
92077605,3915,Rotman,,Houston,77003,Harris,"$389,900 ",Rotman Heights,East End Revitalized,27 - Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),1789,$217.94 ,2023,3,2,1,2.1,2,168,168
72374716,3919,Rotman,,Houston,77003,Harris,"$399,900 ",Rotman Heights,East End Revitalized,27 - Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),1789,$223.53 ,2023,3,2,1,2.1,2,114,139
10292126,4917,N Avenue J,,Houston,77011,Harris,"$397,700 ",North Bryan Park,East End Revitalized,27 - Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),2060,$193.06 ,2023,3,3,1,3.1,3,12,170
19681332,4913,N Avenue J,,Houston,77011,Harris,"$399,700 ",North Bryan Park,East End Revitalized,27 - Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),2060,$194.03 ,2023,3,3,1,3.1,3,1,58
32728090,3705,Cortlandt,Street,Houston,77018,Harris,"$432,900 ",Independence Heights,Northwest Houston,27 - Houston,BURRUS ELEMENTARY SCHOOL,WILLIAMS MIDDLE SCHOOL,WASHINGTON HIGH SCHOOL,1732,$249.94 ,2023,3,3,1,3.1,3,54,54
10485324,3701,Cortlandt,Street,Houston,77018,Harris,"$439,900 ",Independence Heights,Northwest Houston,27 - Houston,BURRUS ELEMENTARY SCHOOL,WILLIAMS MIDDLE SCHOOL,WASHINGTON HIGH SCHOOL,1732,$253.98 ,2023,3,3,1,3.1,3,54,54
35065816,235,37th,Street,Houston,77018,Harris,"$449,900 ",Independence Heights,Northwest Houston,27 - Houston,BURRUS ELEMENTARY SCHOOL,WILLIAMS MIDDLE SCHOOL,WASHINGTON HIGH SCHOOL,1732,$259.76 ,2023,3,3,1,3.1,3,54,54
